"","Account_status","Duration","Credit_history","Purpose","Credit_amount","Savings_bonds","Present_employment_since","Installment_rate","Other_debtors_guarantors","Resident_since","Property","Age","Other_installment_plans","Housing","Existing_credits","Job","People_maintenance_for","Telephone","Foreign_worker","Credit_risk","Gender"
"485","no checking account",12,"critical account / other credits existing (not at this bank)","car (new)",1163,"500 <= ... < 1000 DM","1  <= ... < 4 years",4,"none",4,"real estate",44,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"486","0 < ... <  200 DM",6,"delay in paying off in the past","car (new)",1209,"< 100 DM","unemployed",4,"none",4,"building society savings agreement / life insurance",47,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"487","no checking account",12,"existing credits paid back duly till now","radio / television",3077,"< 100 DM","1  <= ... < 4 years",2,"none",4,"car or other",52,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"488","no checking account",24,"existing credits paid back duly till now","car (new)",3757,"< 100 DM",">= 7 years",4,"co-applicant",4,"unknown / no property",62,"none","for free",1,"skilled employee / official",1,"yes","yes",1,"Male"
"489","no checking account",10,"existing credits paid back duly till now","car (new)",1418,"100 <= ... <  500 DM","1  <= ... < 4 years",3,"none",2,"real estate",35,"none","rent",1,"unskilled - resident",1,"none","no",1,"Female"
"490","no checking account",6,"existing credits paid back duly till now","car (new)",3518,"< 100 DM","1  <= ... < 4 years",2,"guarantor",3,"building society savings agreement / life insurance",26,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Female"
"491","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",1934,"< 100 DM",">= 7 years",2,"none",2,"unknown / no property",26,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"492","0 < ... <  200 DM",27,"no credits taken / all credits paid back duly","business",8318,"< 100 DM",">= 7 years",2,"none",4,"unknown / no property",42,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
"493","no checking account",6,"critical account / other credits existing (not at this bank)","radio / television",1237,"100 <= ... <  500 DM","1  <= ... < 4 years",1,"none",1,"building society savings agreement / life insurance",27,"none","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"494","0 < ... <  200 DM",6,"existing credits paid back duly till now","radio / television",368,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",38,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"495","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (new)",2122,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",39,"none","rent",2,"unskilled - resident",2,"none","no",1,"Female"
"496","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",2996,"unknown / no savings account","1  <= ... < 4 years",2,"none",4,"car or other",20,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"497","0 < ... <  200 DM",36,"existing credits paid back duly till now","furniture / equipment",9034,"100 <= ... <  500 DM","< 1 year",4,"co-applicant",1,"unknown / no property",29,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"498","no checking account",24,"critical account / other credits existing (not at this bank)","furniture / equipment",1585,"< 100 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",40,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"499","0 < ... <  200 DM",18,"existing credits paid back duly till now","radio / television",1301,"< 100 DM",">= 7 years",4,"guarantor",2,"real estate",32,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"500",">= 200 DM",6,"critical account / other credits existing (not at this bank)","car (new)",1323,"100 <= ... <  500 DM",">= 7 years",2,"none",4,"car or other",28,"none","own",2,"skilled employee / official",2,"yes","yes",1,"Female"
"501","< 0 DM",24,"existing credits paid back duly till now","car (new)",3123,"< 100 DM","< 1 year",4,"none",1,"building society savings agreement / life insurance",27,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"502","< 0 DM",36,"existing credits paid back duly till now","car (used)",5493,"< 100 DM",">= 7 years",2,"none",4,"unknown / no property",42,"none","for free",1,"skilled employee / official",2,"none","yes",1,"Female"
"503",">= 200 DM",9,"existing credits paid back duly till now","radio / television",1126,"100 <= ... <  500 DM",">= 7 years",2,"none",4,"real estate",49,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"504","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","radio / television",1216,"100 <= ... <  500 DM","< 1 year",4,"none",4,"unknown / no property",38,"bank","own",2,"skilled employee / official",2,"none","yes",0,"Female"
"505","< 0 DM",24,"existing credits paid back duly till now","car (new)",1207,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",24,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"506","no checking account",10,"existing credits paid back duly till now","car (new)",1309,"unknown / no savings account","1  <= ... < 4 years",4,"guarantor",4,"building society savings agreement / life insurance",27,"none","own",1,"unskilled - resident",1,"none","yes",0,"Female"
"507",">= 200 DM",15,"critical account / other credits existing (not at this bank)","car (used)",2360,"500 <= ... < 1000 DM","1  <= ... < 4 years",2,"none",2,"car or other",36,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"508","0 < ... <  200 DM",15,"all credits at this bank paid back duly","car (new)",6850,"100 <= ... <  500 DM","unemployed",1,"none",2,"building society savings agreement / life insurance",34,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes","yes",0,"Female"
"509","no checking account",24,"existing credits paid back duly till now","radio / television",1413,"< 100 DM","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",28,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"510","no checking account",39,"existing credits paid back duly till now","car (used)",8588,"100 <= ... <  500 DM",">= 7 years",4,"none",2,"car or other",45,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"511","< 0 DM",12,"existing credits paid back duly till now","car (new)",759,"< 100 DM","4  <= ... < 7 years",4,"none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"512","no checking account",36,"existing credits paid back duly till now","car (used)",4686,"< 100 DM","1  <= ... < 4 years",2,"none",2,"unknown / no property",32,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"513",">= 200 DM",15,"existing credits paid back duly till now","business",2687,"< 100 DM","4  <= ... < 7 years",2,"none",4,"building society savings agreement / life insurance",26,"none","rent",1,"skilled employee / official",1,"yes","yes",1,"Female"
"514","0 < ... <  200 DM",12,"delay in paying off in the past","radio / television",585,"< 100 DM","1  <= ... < 4 years",4,"co-applicant",4,"real estate",20,"none","rent",2,"skilled employee / official",1,"none","yes",1,"Female"
"515","no checking account",24,"existing credits paid back duly till now","car (new)",2255,"unknown / no savings account","< 1 year",4,"none",1,"building society savings agreement / life insurance",54,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"516","< 0 DM",6,"critical account / other credits existing (not at this bank)","car (new)",609,"< 100 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",37,"none","own",2,"skilled employee / official",1,"none","no",1,"Male"
"517","< 0 DM",6,"critical account / other credits existing (not at this bank)","car (new)",1361,"< 100 DM","< 1 year",2,"none",4,"real estate",40,"none","own",1,"unskilled - resident",2,"none","no",1,"Female"
"518","no checking account",36,"critical account / other credits existing (not at this bank)","furniture / equipment",7127,"< 100 DM","< 1 year",2,"none",4,"building society savings agreement / life insurance",23,"none","rent",2,"skilled employee / official",1,"yes","yes",0,"Male"
"519","< 0 DM",6,"existing credits paid back duly till now","car (new)",1203,"100 <= ... <  500 DM",">= 7 years",3,"none",2,"building society savings agreement / life insurance",43,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"520","no checking account",6,"critical account / other credits existing (not at this bank)","radio / television",700,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",36,"none","for free",2,"skilled employee / official",1,"none","yes",1,"Female"
"521","no checking account",24,"critical account / other credits existing (not at this bank)","repairs",5507,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",44,"none","for free",2,"skilled employee / official",1,"none","yes",1,"Female"
"522","< 0 DM",18,"existing credits paid back duly till now","radio / television",3190,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"523","< 0 DM",48,"no credits taken / all credits paid back duly","furniture / equipment",7119,"< 100 DM","1  <= ... < 4 years",3,"none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none","yes",0,"Female"
"524","no checking account",24,"existing credits paid back duly till now","car (used)",3488,"100 <= ... <  500 DM","4  <= ... < 7 years",3,"none",4,"car or other",23,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"525","0 < ... <  200 DM",18,"existing credits paid back duly till now","radio / television",1113,"< 100 DM","1  <= ... < 4 years",4,"guarantor",4,"real estate",26,"none","own",1,"unskilled - resident",2,"none","yes",1,"Male"
"526","0 < ... <  200 DM",26,"existing credits paid back duly till now","car (used)",7966,"< 100 DM","< 1 year",2,"none",3,"car or other",30,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"527","no checking account",15,"critical account / other credits existing (not at this bank)","education",1532,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",3,"car or other",31,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"528","no checking account",4,"critical account / other credits existing (not at this bank)","radio / television",1503,"< 100 DM","4  <= ... < 7 years",2,"none",1,"real estate",42,"none","own",2,"unskilled - resident",2,"none","yes",1,"Female"
"529","< 0 DM",36,"existing credits paid back duly till now","radio / television",2302,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",31,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Female"
"530","< 0 DM",6,"existing credits paid back duly till now","car (new)",662,"< 100 DM","< 1 year",3,"none",4,"real estate",41,"none","own",1,"unskilled - resident",2,"yes","yes",1,"Female"
"531","0 < ... <  200 DM",36,"existing credits paid back duly till now","education",2273,"< 100 DM","4  <= ... < 7 years",3,"none",1,"car or other",32,"none","own",2,"skilled employee / official",2,"none","yes",1,"Female"
"532","0 < ... <  200 DM",15,"existing credits paid back duly till now","car (new)",2631,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"none",4,"car or other",28,"none","rent",2,"skilled employee / official",1,"yes","yes",0,"Male"
"533","no checking account",12,"delay in paying off in the past","car (used)",1503,"< 100 DM","1  <= ... < 4 years",4,"none",4,"real estate",41,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Female"
"534","no checking account",24,"existing credits paid back duly till now","radio / television",1311,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",26,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"535","no checking account",24,"existing credits paid back duly till now","radio / television",3105,"unknown / no savings account","< 1 year",4,"none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"536",">= 200 DM",21,"critical account / other credits existing (not at this bank)","education",2319,"< 100 DM","< 1 year",2,"none",1,"car or other",33,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Female"
"537","< 0 DM",6,"existing credits paid back duly till now","car (new)",1374,"unknown / no savings account","unemployed",4,"none",3,"building society savings agreement / life insurance",75,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"538","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",3612,"< 100 DM",">= 7 years",3,"none",4,"building society savings agreement / life insurance",37,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"539","< 0 DM",48,"existing credits paid back duly till now","car (new)",7763,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",42,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"none","yes",0,"Female"
"540",">= 200 DM",18,"existing credits paid back duly till now","furniture / equipment",3049,"< 100 DM","< 1 year",1,"none",1,"building society savings agreement / life insurance",45,"stores","own",1,"unskilled - resident",1,"none","yes",1,"Male"
"541","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1534,"< 100 DM","< 1 year",1,"none",1,"real estate",23,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Female"
"542","no checking account",24,"delay in paying off in the past","car (new)",2032,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",60,"none","for free",2,"skilled employee / official",1,"yes","yes",1,"Female"
"543","< 0 DM",30,"existing credits paid back duly till now","furniture / equipment",6350,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",31,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"544",">= 200 DM",18,"existing credits paid back duly till now","furniture / equipment",2864,"< 100 DM","1  <= ... < 4 years",2,"none",1,"real estate",34,"none","own",1,"unskilled - resident",2,"none","yes",0,"Female"
"545","no checking account",12,"critical account / other credits existing (not at this bank)","car (new)",1255,"< 100 DM",">= 7 years",4,"none",4,"real estate",61,"none","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"546","< 0 DM",24,"delay in paying off in the past","car (new)",1333,"< 100 DM","unemployed",4,"none",2,"real estate",43,"none","for free",2,"skilled employee / official",2,"none","yes",0,"Female"
"547","no checking account",24,"critical account / other credits existing (not at this bank)","car (new)",2022,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",37,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"548","no checking account",24,"existing credits paid back duly till now","radio / television",1552,"< 100 DM","4  <= ... < 7 years",3,"none",1,"car or other",32,"bank","own",1,"skilled employee / official",2,"none","yes",1,"Female"
"549","< 0 DM",12,"all credits at this bank paid back duly","radio / television",626,"< 100 DM","1  <= ... < 4 years",4,"none",4,"real estate",24,"bank","own",1,"unskilled - resident",1,"none","yes",0,"Male"
"550","no checking account",48,"critical account / other credits existing (not at this bank)","car (used)",8858,"unknown / no savings account","4  <= ... < 7 years",2,"none",1,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes","yes",1,"Female"
"551","no checking account",12,"critical account / other credits existing (not at this bank)","repairs",996,"unknown / no savings account","4  <= ... < 7 years",4,"none",4,"real estate",23,"none","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"552","no checking account",6,"all credits at this bank paid back duly","radio / television",1750,"500 <= ... < 1000 DM",">= 7 years",2,"none",4,"building society savings agreement / life insurance",45,"bank","own",1,"unskilled - resident",2,"none","yes",1,"Female"
"553","< 0 DM",48,"existing credits paid back duly till now","radio / television",6999,"< 100 DM","4  <= ... < 7 years",1,"guarantor",1,"real estate",34,"none","own",2,"skilled employee / official",1,"yes","yes",0,"Female"
"554","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",1995,"100 <= ... <  500 DM","< 1 year",4,"none",1,"car or other",27,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"555","0 < ... <  200 DM",9,"existing credits paid back duly till now","education",1199,"< 100 DM","4  <= ... < 7 years",4,"none",4,"building society savings agreement / life insurance",67,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"556","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1331,"< 100 DM","< 1 year",2,"none",1,"car or other",22,"stores","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"557","0 < ... <  200 DM",18,"no credits taken / all credits paid back duly","car (new)",2278,"100 <= ... <  500 DM","< 1 year",3,"none",3,"car or other",28,"none","own",2,"skilled employee / official",1,"none","yes",0,"Male"
"558","no checking account",21,"no credits taken / all credits paid back duly","car (new)",5003,"unknown / no savings account","1  <= ... < 4 years",1,"none",4,"building society savings agreement / life insurance",29,"bank","own",2,"skilled employee / official",1,"yes","yes",0,"Male"
"559","< 0 DM",24,"all credits at this bank paid back duly","furniture / equipment",3552,"< 100 DM","4  <= ... < 7 years",3,"none",4,"car or other",27,"bank","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"560","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",1928,"< 100 DM","< 1 year",2,"none",2,"real estate",31,"none","own",2,"unskilled - resident",1,"none","yes",0,"Female"
"561","< 0 DM",24,"existing credits paid back duly till now","car (used)",2964,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",49,"bank","for free",1,"skilled employee / official",2,"yes","yes",1,"Female"
"562","< 0 DM",24,"all credits at this bank paid back duly","radio / television",1546,"< 100 DM","4  <= ... < 7 years",4,"guarantor",4,"car or other",24,"bank","rent",1,"unskilled - resident",1,"none","yes",0,"Female"
"563",">= 200 DM",6,"delay in paying off in the past","radio / television",683,"< 100 DM","< 1 year",2,"none",1,"building society savings agreement / life insurance",29,"bank","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"564","0 < ... <  200 DM",36,"existing credits paid back duly till now","car (new)",12389,"unknown / no savings account","1  <= ... < 4 years",1,"none",4,"unknown / no property",37,"none","for free",1,"skilled employee / official",1,"yes","yes",0,"Female"
"565","0 < ... <  200 DM",24,"delay in paying off in the past","business",4712,"unknown / no savings account","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",37,"bank","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"566","0 < ... <  200 DM",24,"delay in paying off in the past","radio / television",1553,"100 <= ... <  500 DM","4  <= ... < 7 years",3,"none",2,"building society savings agreement / life insurance",23,"none","rent",2,"skilled employee / official",1,"yes","yes",1,"Male"
"567","< 0 DM",12,"existing credits paid back duly till now","car (new)",1372,"< 100 DM","4  <= ... < 7 years",2,"none",3,"car or other",36,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"568","no checking account",24,"critical account / other credits existing (not at this bank)","radio / television",2578,">= 1000 DM",">= 7 years",2,"none",2,"car or other",34,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"569","0 < ... <  200 DM",48,"existing credits paid back duly till now","radio / television",3979,"unknown / no savings account","4  <= ... < 7 years",4,"none",1,"car or other",41,"none","own",2,"skilled employee / official",2,"yes","yes",1,"Female"
"570","< 0 DM",48,"existing credits paid back duly till now","radio / television",6758,"< 100 DM","1  <= ... < 4 years",3,"none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Male"
"571","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",3234,"< 100 DM","< 1 year",4,"none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"yes","yes",0,"Male"
"572","no checking account",30,"critical account / other credits existing (not at this bank)","radio / television",5954,"< 100 DM","4  <= ... < 7 years",3,"co-applicant",2,"car or other",38,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"573","no checking account",24,"existing credits paid back duly till now","car (used)",5433,"unknown / no savings account","unemployed",2,"none",4,"building society savings agreement / life insurance",26,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"574","< 0 DM",15,"existing credits paid back duly till now","business",806,"< 100 DM","1  <= ... < 4 years",4,"none",4,"building society savings agreement / life insurance",22,"none","own",1,"unskilled - resident",1,"none","yes",1,"Male"
"575","0 < ... <  200 DM",9,"existing credits paid back duly till now","radio / television",1082,"< 100 DM",">= 7 years",4,"none",4,"car or other",27,"none","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"576","no checking account",15,"critical account / other credits existing (not at this bank)","furniture / equipment",2788,"< 100 DM","4  <= ... < 7 years",2,"co-applicant",3,"car or other",24,"bank","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"577","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",2930,"< 100 DM","4  <= ... < 7 years",2,"none",1,"real estate",27,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"578","no checking account",24,"critical account / other credits existing (not at this bank)","education",1927,"unknown / no savings account","1  <= ... < 4 years",3,"none",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Male"
"579","0 < ... <  200 DM",36,"critical account / other credits existing (not at this bank)","car (new)",2820,"< 100 DM","< 1 year",4,"none",4,"car or other",27,"none","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"580","no checking account",24,"existing credits paid back duly till now","retrainin",937,"< 100 DM","< 1 year",4,"none",3,"car or other",27,"none","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"581","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","car (new)",1056,"< 100 DM",">= 7 years",3,"guarantor",3,"real estate",30,"bank","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"582","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",3124,"< 100 DM","< 1 year",1,"none",3,"real estate",49,"bank","own",2,"unskilled - resident",2,"none","yes",1,"Female"
"583","no checking account",9,"existing credits paid back duly till now","furniture / equipment",1388,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",26,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Male"
"584","0 < ... <  200 DM",36,"existing credits paid back duly till now","repairs",2384,"< 100 DM","< 1 year",4,"none",1,"unknown / no property",33,"none","rent",1,"unskilled - resident",1,"none","yes",0,"Female"
"585","no checking account",12,"existing credits paid back duly till now","car (new)",2133,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",52,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"586","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",2039,"< 100 DM","1  <= ... < 4 years",1,"none",4,"real estate",20,"bank","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"587","< 0 DM",9,"critical account / other credits existing (not at this bank)","car (new)",2799,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",36,"none","rent",2,"skilled employee / official",2,"none","yes",1,"Female"
"588","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",1289,"< 100 DM","1  <= ... < 4 years",4,"guarantor",1,"building society savings agreement / life insurance",21,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"589","< 0 DM",18,"existing credits paid back duly till now","domestic appliances",1217,"< 100 DM","1  <= ... < 4 years",4,"none",3,"real estate",47,"none","own",1,"unskilled - resident",1,"yes","yes",0,"Female"
"590","< 0 DM",12,"critical account / other credits existing (not at this bank)","furniture / equipment",2246,"< 100 DM",">= 7 years",3,"none",3,"building society savings agreement / life insurance",60,"none","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"591","< 0 DM",12,"critical account / other credits existing (not at this bank)","radio / television",385,"< 100 DM","4  <= ... < 7 years",4,"none",3,"real estate",58,"none","own",4,"unskilled - resident",1,"yes","yes",1,"Male"
"592","0 < ... <  200 DM",24,"delay in paying off in the past","car (new)",1965,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"car or other",42,"none","rent",2,"skilled employee / official",1,"yes","yes",1,"Male"
"593","no checking account",21,"existing credits paid back duly till now","business",1572,">= 1000 DM",">= 7 years",4,"none",4,"real estate",36,"bank","own",1,"unskilled - resident",1,"none","yes",1,"Male"
"594","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (new)",2718,"< 100 DM","1  <= ... < 4 years",3,"none",4,"building society savings agreement / life insurance",20,"none","rent",1,"unskilled - resident",1,"yes","yes",0,"Male"
"595","< 0 DM",24,"all credits at this bank paid back duly","others",1358,"unknown / no savings account",">= 7 years",4,"none",3,"car or other",40,"stores","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"596","0 < ... <  200 DM",6,"all credits at this bank paid back duly","car (new)",931,"100 <= ... <  500 DM","< 1 year",1,"none",1,"building society savings agreement / life insurance",32,"stores","own",1,"unskilled - resident",1,"none","yes",0,"Male"
"597","< 0 DM",24,"existing credits paid back duly till now","car (new)",1442,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",23,"none","rent",2,"skilled employee / official",1,"none","yes",0,"Male"
"598","0 < ... <  200 DM",24,"no credits taken / all credits paid back duly","business",4241,"< 100 DM","1  <= ... < 4 years",1,"none",4,"real estate",36,"none","own",3,"unskilled - resident",1,"yes","yes",0,"Female"
"599","no checking account",18,"critical account / other credits existing (not at this bank)","car (new)",2775,"< 100 DM","4  <= ... < 7 years",2,"none",2,"building society savings agreement / life insurance",31,"bank","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"600","no checking account",24,"delay in paying off in the past","business",3863,"< 100 DM","1  <= ... < 4 years",1,"none",2,"unknown / no property",32,"none","for free",1,"skilled employee / official",1,"none","yes",1,"Female"
"601","0 < ... <  200 DM",7,"existing credits paid back duly till now","radio / television",2329,"< 100 DM","< 1 year",1,"guarantor",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"602","0 < ... <  200 DM",9,"existing credits paid back duly till now","furniture / equipment",918,"< 100 DM","1  <= ... < 4 years",4,"none",1,"building society savings agreement / life insurance",30,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"603","0 < ... <  200 DM",24,"all credits at this bank paid back duly","education",1837,"< 100 DM","4  <= ... < 7 years",4,"none",4,"unknown / no property",34,"bank","for free",1,"unskilled - resident",1,"none","yes",0,"Male"
"604","no checking account",36,"existing credits paid back duly till now","furniture / equipment",3349,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",28,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
"605",">= 200 DM",10,"existing credits paid back duly till now","furniture / equipment",1275,"< 100 DM","< 1 year",4,"none",2,"building society savings agreement / life insurance",23,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"606","< 0 DM",24,"all credits at this bank paid back duly","furniture / equipment",2828,"500 <= ... < 1000 DM","1  <= ... < 4 years",4,"none",4,"real estate",22,"stores","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"607","no checking account",24,"critical account / other credits existing (not at this bank)","business",4526,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",74,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"608","0 < ... <  200 DM",36,"existing credits paid back duly till now","radio / television",2671,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"co-applicant",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","yes",0,"Male"
"609","no checking account",18,"existing credits paid back duly till now","radio / television",2051,"< 100 DM","< 1 year",4,"none",1,"real estate",33,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"610","no checking account",15,"existing credits paid back duly till now","car (used)",1300,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",45,"bank","for free",1,"skilled employee / official",2,"none","yes",1,"Female"
"611","< 0 DM",12,"existing credits paid back duly till now","domestic appliances",741,"100 <= ... <  500 DM","unemployed",4,"none",3,"building society savings agreement / life insurance",22,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"612",">= 200 DM",10,"existing credits paid back duly till now","car (new)",1240,"100 <= ... <  500 DM",">= 7 years",1,"none",4,"unknown / no property",48,"none","for free",1,"unskilled - resident",2,"none","yes",0,"Male"
"613","< 0 DM",21,"existing credits paid back duly till now","radio / television",3357,">= 1000 DM","< 1 year",4,"none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"614","< 0 DM",24,"all credits at this bank paid back duly","car (used)",3632,"< 100 DM","1  <= ... < 4 years",1,"guarantor",4,"car or other",22,"bank","rent",1,"skilled employee / official",1,"none","no",1,"Male"
"615","no checking account",18,"delay in paying off in the past","furniture / equipment",1808,"< 100 DM","4  <= ... < 7 years",4,"none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes",0,"Male"
"616","0 < ... <  200 DM",48,"no credits taken / all credits paid back duly","business",12204,"unknown / no savings account","1  <= ... < 4 years",2,"none",2,"car or other",48,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
